Node ID,Total de Alarmes,Total de Correlações,Total de Incidentes,Média de Alarmes por Incidente,Densidade
3f3c497e-69fc-44c5-9630-4a43005a4147,3,1,1,3.0,0.3333333333333333
53317ccd-c338-45c8-b1ea-365f2d775f10,2,1,1,2.0,1.0
454e8734-46ec-445c-bc79-1170e7484d57,2,1,1,2.0,1.0
0072af73-d835-49fd-b984-335fa3a2fd70,4,6,1,4.0,1.0
0c3259e7-b170-4a80-84c2-af5a78011310,5,6,1,5.0,0.6
ec3e366e-88ec-4b74-9734-07b4ef92573f,4,6,1,4.0,1.0
2ca16d4d-4b0c-42a4-becc-b5eeab45d1ca,4,6,1,4.0,1.0
9238d7fb-b788-41ca-96e1-4d9ac9bbc4cd,4,6,1,4.0,1.0
06d5fccc-9f79-4fed-b778-801edcfb86e6,3,3,1,3.0,1.0
569aa289-7042-4db7-9a8a-0cd80a27ffec,3,1,1,3.0,0.3333333333333333
9bcffec7-6347-4f10-a02f-ec2d929ec9f1,2,1,1,2.0,1.0
30223107-efc6-497d-9345-f4da5a5832b3,3,3,1,3.0,1.0
d76774ca-d994-4465-8608-42a814bfdf4d,2,1,1,2.0,1.0
c77d67c0-05a3-4705-9406-69d06965bee1,2,1,1,2.0,1.0
e49b2b65-b39e-4fe8-9db8-31d9907e02dc,3,3,1,3.0,1.0
ccf579a8-f1d1-4c43-818b-adfa447ad11d,2,1,1,2.0,1.0
643d5cec-b8cd-4f3e-b427-0e8ae7373757,4,6,1,4.0,1.0
2839a302-cdbb-4c67-a9c7-84cc1564ecad,9,36,1,9.0,1.0
c9d10641-632e-4d31-b777-181c16eb0029,3,3,1,3.0,1.0
aaad2f1e-8586-4557-9045-5ea91187cc05,9,21,1,9.0,0.5833333333333334
cf9c3483-67ab-4d29-b694-b17babebb5fa,5,10,1,5.0,1.0
7ba2db28-2514-4ebb-a502-92b62ea986cb,4,1,1,4.0,0.16666666666666666
2a961dac-fb7f-4541-98a2-41343d97ab7c,44,946,1,44.0,1.0
e04167b2-aac0-4470-a91e-b6e8a0b425f4,3,3,1,3.0,1.0
b4b162e2-1e99-4652-90b5-55167915e73b,3,3,1,3.0,1.0
d3001f87-ee0e-4c49-aa5a-562b64ccab26,5,10,1,5.0,1.0
5d0fbc9c-9e5c-48f4-8cef-1e34aef5f681,4,6,1,4.0,1.0
493b6561-411a-4036-bc65-c502581cfae5,2,1,1,2.0,1.0
52b343a5-0179-4746-93ce-39724bd0e0bc,4,6,1,4.0,1.0
cc8ead28-6a15-47e0-b97d-ee89660f94b4,2,1,1,2.0,1.0
038ca1bc-a59a-4b88-ad8c-9289411e4670,2,1,1,2.0,1.0
18612228-ae67-421a-be7b-7493c9a81074,4,6,1,4.0,1.0
1f4c3fd7-29f3-4cd0-b22d-0a3760030741,2,1,1,2.0,1.0
b7dea369-76fc-4092-9ce1-149c9ce05b2c,2,1,1,2.0,1.0
b65ff7e0-f61e-48fe-af12-f68a1899453a,2,1,1,2.0,1.0
45809e75-3278-4ea9-85a2-52c717705c5e,4,6,1,4.0,1.0
a2c048c7-9c4d-42f8-be0e-5d99f131d03a,4,6,1,4.0,1.0
b2585cf5-7402-4652-b806-fda32fa9b550,2,1,1,2.0,1.0
c864daa1-6e1e-40d8-83d6-4400dca84833,2,1,1,2.0,1.0
482de9f7-b961-4d32-87e6-d2f686f224dc,3,1,1,3.0,0.3333333333333333
2017e446-4aff-413c-8605-d40007291154,3,1,1,3.0,0.3333333333333333
1aaeef20-22d1-4af6-9c04-ad0a6bc2d5ce,3,1,1,3.0,0.3333333333333333
1eaee9d3-de33-4012-8af8-2664955e7d51,8,28,1,8.0,1.0
80a69612-d2bd-4bfe-99a5-ba8004b5c5da,4,6,1,4.0,1.0
10c2b4a6-9c5d-43a8-9c83-53c97ebf69a2,3,3,1,3.0,1.0
1230c663-dfca-4a4d-a5b0-439bbc8a4bd4,4,6,1,4.0,1.0
d78d146d-2826-4a0b-a988-8707d2aac87f,14,91,1,14.0,1.0
28fc5997-9999-471f-9793-04cd1151d6c4,16,120,1,16.0,1.0
09f4efa9-7cf3-4b83-b63c-bc0711043576,3,1,1,3.0,0.3333333333333333
892a0c37-c324-4e1d-a439-966cc7a4f250,5,1,1,5.0,0.1
33896aae-617b-4e58-88b2-26f5e2f0ef2d,5,10,1,5.0,1.0
7a0c541e-c95e-496c-a98d-9081df1d5eda,2,1,1,2.0,1.0
1f59713b-cc65-4968-870a-2dd6b65f63f8,3,1,1,3.0,0.3333333333333333
af02adf2-1611-42ec-901f-36a44c5f4bf9,5,6,1,5.0,0.6
72524293-f0c0-476f-a898-d51bd00f0d60,2,1,1,2.0,1.0
4af7edeb-5942-44b3-9e5e-c4d01726bd33,4,6,1,4.0,1.0
abe8efc3-9225-4e79-b110-94a90163f0e4,3,3,1,3.0,1.0
3a8f5440-12e3-4fe2-90cb-d837cfa1974e,2,1,1,2.0,1.0
f65aa265-4623-48b9-8e8d-ae4f0a9e1c11,4,6,1,4.0,1.0
9b15c5e9-01fe-460e-bd7b-bfdcd0e8fbcb,4,6,1,4.0,1.0
eb8b5121-5d29-4818-a61c-f7d902894e53,2,1,1,2.0,1.0
41bcd698-ecc3-48b0-852d-7fd96703baf6,32,496,1,32.0,1.0
1718a2dc-c6b3-4d5d-827d-210e7bd1c8cc,16,120,1,16.0,1.0
30d0d083-5171-4aac-9333-27080dc95079,3,1,1,3.0,0.3333333333333333
5bd8e82d-c044-4bb4-bcc2-881f70efbae9,2,1,1,2.0,1.0
cfe03d8a-9e0d-478a-a144-f8c441a81837,9,36,1,9.0,1.0
e45fa2ea-6a4a-49db-ad22-5a42171bafb9,3,3,1,3.0,1.0
adc58cc8-f139-40a3-868c-a2b45fd2ac6c,4,6,1,4.0,1.0
c90143b4-e96d-4bad-9e91-ba184e746e0f,3,1,1,3.0,0.3333333333333333
6e7c1234-89ab-45cd-ef01-234567890abc,15,105,1,15.0,1.0
